id,name,category_id,sku,price
prod_0001,Analog Clamp M16,cat_172,SKU-ANA-CLA-M16,23.5
prod_0002,Professional Bracket 50mm,cat_176,SKU-PRO-BRA-50MM,8.35
prod_0003,Stainless Bearing M8,cat_014,SKU-STA-BEA-M8,1.73
prod_0004,Precision Valve M10,cat_139,SKU-PRE-VAL-M10,3.76
prod_0005,"Electric Rod 3/4"" Kit",cat_133,SKU-ELE-ROD-34,435.55
prod_0006,Premium Pin 10mm Unit,cat_145,SKU-PRE-PIN-10MM,44.35
prod_0007,Premium Timer HP-100 Assembly,cat_083,SKU-PRE-TIM-HP100,4.03
prod_0008,Professional Fitting M12,cat_013,SKU-PRO-FIT-M12,1914.47
prod_0009,Ultra Timer 50mm Module,cat_162,SKU-ULT-TIM-50MM,37.74
prod_0010,Professional Valve M10 Pack,cat_190,SKU-PRO-VAL-M10,363.02
prod_0011,Industrial Rod SM,cat_069,SKU-IND-ROD-SM,205.6
prod_0012,Ceramic Sensor HP-500 Module,cat_027,SKU-CER-SEN-HP500,16.69
prod_0013,Galvanized Fuse HP-500,cat_187,SKU-GAL-FUS-HP500,48.32
prod_0014,Economy Cable HP-200 System,cat_057,SKU-ECO-CAB-HP200,3593.83
prod_0015,Analog Screw A,cat_011,SKU-ANA-SCR-A,59.94
prod_0016,"Chrome Plate 2"" Unit",cat_166,SKU-CHR-PLA-2,2.67
prod_0017,Stainless Ring C Pack,cat_062,SKU-STA-RIN-C,43.35
prod_0018,Ultra Sensor HP-500 Unit,cat_172,SKU-ULT-SEN-HP500,222.33
prod_0019,Professional Gear HP-200 Assembly,cat_062,SKU-PRO-GEA-HP200,39.32
prod_0020,Precision Switch HP-200,cat_121,SKU-PRE-SWI-HP200,6.57
prod_0021,Analog Hose 10mm,cat_102,SKU-ANA-HOS-10MM,45.15
prod_0022,"Galvanized Bracket 1/4""",cat_186,SKU-GAL-BRA-14,37.28
prod_0023,Economy Tube,cat_141,SKU-ECO-TUB,19.86
prod_0024,Industrial Hose,cat_061,SKU-IND-HOS,485.3
prod_0025,Chrome Timer A,cat_067,SKU-CHR-TIM-A,21.71
prod_0026,Standard Screw 100mm System,cat_133,SKU-STA-SCR-100MM,290.85
prod_0027,"Precision Wire 1/4"" Assembly",cat_121,SKU-PRE-WIR-14,6.75
prod_0028,Heavy-Duty Nut HP-200,cat_092,SKU-HEA-NUT-HP200,254.64
